Feature,Id,x,y
Aa,1,271588.3169,2779142.165
Aa,2,268054.2762,2774764.201
Aa,3,263812.0813,2774772.574
Aa,4,266293.5977,2773398.363
Aa,5,263539.6293,2774648.568
Aa,6,269471.6655,2771648.682
Aa,7,268538.242,2772698.711
Aa,8,269293.3031,2774445.99
Aa,9,265123.074,2772912.65
Aa,10,264786.8893,2773292.366
Aa,11,271157.8068,2778306.465
Aa,12,269146.8212,2773890.244
Aa,13,266116.6049,2772732.823
Aa,14,268036.2554,2772119.627
Aa,15,265606.4586,2773388.806
Aa,16,269030.966,2773279.023
Aa,17,269463.912,2770779.034
Aa,18,269231.6103,2771891.585
Aa,19,266903.5363,2773802.85
Aa,20,263185.1551,2774857.01
Aa,21,267792.024,2772658.337
Aa,22,264118.1661,2774125.746
Aa,23,267421.2849,2772461.102
Aa,24,269029.6578,2771199.599
Aa,25,266462.5704,2773281.539
Aa,26,265224.9144,2772878.134
Aa,27,266998.8131,2773249.118
Aa,28,265892.0819,2775804.346
Aa,29,272237.3246,2780341.992
Aa,30,266048.2324,2774089.957
Aa,31,270519.4732,2777065.278
Aa,32,270842.7841,2778754.369
Aa,33,264319.1692,2774482.244
Aa,34,265576.0868,2775205.669
Aa,35,265785.0063,2772529.041
Aa,36,265787.7041,2772102.865
Aa,37,268253.4511,2772572.919
Aa,38,266518.45,2772316.512
Aa,39,269278.3149,2771647.299
Aa,40,268611.2509,2773733.607
Aa,41,268102.8096,2773044.509
Aa,42,269094.4885,2772208.844
Aa,43,268955.9419,2773078.225
Aa,44,269698.5613,2775506.127
Aa,45,262958.679,2776136.829
Aa,46,267506.4422,2772125.05
Aa,47,265314.9768,2772248.38
Aa,48,262742.9274,2777542.876
Aa,49,265584.4103,2772464.212
Aa,50,267268.3862,2773566.223
Aa,51,269324.8939,2771896.772
Aa,52,265785.0063,2772529.041
Aa,53,267139.443,2771877.239
Aa,54,267415.4582,2774196.984
Aa,55,267948.4234,2774969.553
Aa,56,265233.5701,2773649.503
Aa,57,264339.7303,2772418.435
Aa,58,268545.6645,2772137.399
Aa,59,266127.477,2772693.11
Aa,60,264787.803,2772943.369
Aa,61,265735.5828,2772521.434
Aa,62,269449.684,2771943.278
Aa,63,267931.8711,2771416.27
Aa,64,267747.1788,2771471.409
Aa,65,270678.0535,2778023.908
Aa,66,270870.8669,2778501.946
Aa,67,270989.1756,2777892.484
Aa,68,265624.3072,2772186.204
Aa,69,269363.4275,2771442.313
Aa,70,267802.0879,2770623.936
Aa,71,268674.9686,2771223.148
Aa,72,271127.7488,2778304.434
Aa,73,262054.4593,2775507.036
Aa,74,264752.0692,2774889.909
Aa,75,264663.3085,2772691.443
Aa,76,265643.1308,2773730.179
Aa,77,269189.9669,2774073.404
Aa,78,265735.6629,2776917.598
Aa,79,267770.0851,2774897.554
Aa,80,263880.6067,2772236.133
Aa,81,268652.9645,2772651.321
Aa,82,263905.5459,2775455.817
Aa,83,267448.6805,2775106.162
Aa,84,266962.506,2771619.215
Aa,85,264600.3625,2773462.359
Aa,86,266521.5894,2773444.977
Aa,87,267521.2641,2771819.578
