B,1,33473547.35,3058867.741
C,2,33473439.26,3059069.005
B,3,33473832.96,3059281.053
B,4,33474083.22,3059457.01
D,5,33474129.65,3059811.87
B,6,33474473.37,3059958.419
D,7,33474386.98,3060215.306
D,8,33474682.42,3060563.177
D,9,33474979.84,3060937.456
D,10,33475327.23,3061187.98
D,11,33475319.16,3061676.316
C,12,33475769.91,3061507.66
D,13,33476341.45,3061907.325
D,14,33475741.12,3062114.879
D,15,33476671.91,3062381.359
D,16,33477254.62,3062446.554
D,17,33477662.65,3062712.807
D,18,33477994.9,3062927.465
D,19,33478263.12,3063127.604
D,20,33478593.36,3063490.508
E,21,33470188.81,3050810.258
F,22,33469814.27,3050852.504
E,23,33469346.6,3050828.545
E,24,33468946.56,3051150.069
E,25,33469700.33,3051198.973
F,26,33470509.22,3051742.595
E,27,33468768.61,3051586.955
E,28,33470241.81,3051381.686
F,29,33469686,3051697.139
F,30,33469879.14,3052031.501
F,31,33469846.9,3052184.759
E,32,33468699.91,3051931.38
F,33,33471121.11,3052115.941
E,34,33470680.42,3052066.478
E,35,33470876.08,3051491.117
F,36,33471890.69,3052057.595
E,37,33468511.87,3052256.131
F,38,33471368.81,3051979.4
E,39,33473999.75,3052634.657
F,40,33473550,3052521.92
F,41,33471950.65,3052584.542
E,42,33468502.33,3052606.541
E,43,33468999.42,3052565.807
F,44,33472819.11,3052489.136
E,45,33468228.92,3052733.328
E,46,33470262.97,3052667.271
F,47,33470635.25,3052686.112
F,48,33474279.61,3052922.866
F,49,33471066.94,3052646.39
F,50,33469810.47,3052621.198
E,51,33469496.38,3052420.548
F,52,33471932.5,3052949.441
F,53,33469278.55,3052147.312
F,54,33473218.57,3052568.318
F,55,33473750.85,3052990.606
F,56,33472639.47,3053050.252
E,57,33468108.18,3053037.578
F,58,33472969.71,3052988.001
F,59,33469074.48,3053106.658
E,60,33468983.76,3053269.177
F,61,33472189.83,3053336.139
E,62,33468819.71,3053412.977
E,63,33467807.38,3053360.698
F,64,33470325.88,3053437.203
F,65,33471538.64,3053437.087
G,66,33474501.39,3053361.67
F,67,33472617.11,3053665.784
F,68,33472166.94,3053680.255
F,69,33470997.95,3053404.228
F,70,33470533.33,3053314.727
F,71,33472947.34,3053689.123
F,72,33470608.22,3053811.116
F,73,33473274.52,3053700.892
E,74,33468261.02,3053674.154
F,75,33473476.18,3053679.982
F,76,33470066.21,3053534.348
G,77,33473834.33,3053500.43
F,78,33472072.9,3053880.434
F,79,33469728.1,3053642.734
D,80,33475317.05,3053865.853
F,81,33469128.13,3053875.978
F,82,33468004.64,3054057.151
G,83,33473381.52,3054108.876
F,84,33468788.56,3054064.901
E,85,33467354.69,3053563.235
G,86,33470664.66,3054104.799
D,87,33474228.42,3053973.039
D,88,33474792.59,3053909.408
F,89,33472114.33,3054133.866
F,90,33472636.5,3054154.906
G,91,33469827.57,3054280.844
G,92,33473881.1,3054426.479
E,93,33468337.4,3054447.636
D,94,33479101.97,3054670.317
G,95,33473295.73,3054598.6
D,96,33474264.45,3054661.287
E,97,33468692.86,3054676.899
F,98,33469342.7,3054557.705
D,99,33475483.7,3054414.581
G,100,33472245.05,3054632.694
D,101,33478676.71,3054747.79
G,102,33470437.87,3054423.927
G,103,33470326.94,3054785.732
G,104,33472850.62,3054748.039
G,105,33471162.87,3054272.746
B,106,33478344.42,3054879.43
F,107,33469713.98,3054844.553
H,108,33471651.88,3054569.931
D,109,33475890.97,3054657.626
D,110,33479337.31,3054981.306
D,111,33474574.46,3054854.801
E,112,33468936.29,3055048.078
G,113,33471279.78,3054661.99
C,114,33478895.45,3055041.959
F,115,33469940.06,3055100.637
D,116,33475009.06,3054820.155
I,117,33478005.7,3055150.576
H,118,33471821.86,3055040.63
G,119,33470475.43,3055181.563
C,120,33476564.69,3055286.41
D,121,33476160.15,3054989.492
D,122,33473868.68,3055102.422
C,123,33478623.55,3055227.629
C,124,33479055.92,3055238.602
H,125,33472652.76,3055123.625
D,126,33475199.35,3055180.646
D,127,33471960.88,3055311.306
H,128,33472507.12,3055297.987
C,129,33477673.09,3055380.855
D,130,33473055.75,3055155.605
C,131,33471028.16,3055510.047
F,132,33469898.58,3055459.032
I,133,33476803.12,3055531.628
D,134,33478567.91,3055450.565
H,135,33471414.77,3055260.855
B,136,33475862.93,3055608.274
H,137,33472552.1,3055593.252
J,138,33479797.3,3055639.944
H,139,33471898.62,3055588.46
J,140,33479474.97,3055499.744
D,141,33475284.83,3055502.831
F,142,33469265.15,3055451.968
D,143,33473635.42,3055557.041
J,144,33484165.5,3055608.725
C,145,33477746.11,3055781.341
D,146,33476122.07,3055807.1
D,147,33476236.11,3055482.997
C,148,33473305.63,3055265.963
G,149,33470580.72,3055525.107
J,150,33476654.46,3055771.452
H,151,33471848.22,3055777.345
D,152,33474136.03,3055373.872
D,153,33475409,3055814.695
J,154,33480136.89,3055764.503
B,155,33477450.1,3055824.53
I,156,33476535.03,3055818.003
B,157,33476013.14,3055931.831
J,158,33477843.66,3056137.361
H,159,33472489.66,3055961.615
D,160,33478528.75,3055799.024
